date,JPM,META,NVDA,TSLA
2022-01-03,144.1915740966797,335.5929870605469,30.026147842407227,399.9266662597656
2022-01-04,149.65786743164062,333.6004638671875,29.1977596282959,383.1966552734375
2022-01-05,146.9217987060547,321.3480529785156,27.517066955566406,362.7066650390625
2022-01-06,148.48268127441406,329.5658874511719,28.08926010131836,354.8999938964844
2022-01-07,149.953857421875,328.9017333984375,27.16119384765625,342.32000732421875
2022-01-10,150.09738159179688,325.214111328125,27.313709259033203,352.7066650390625
2022-01-11,150.24993896484375,331.4592590332031,27.729398727416992,354.79998779296875
2022-01-12,151.1020965576172,330.35894775390625,27.910825729370117,368.739990234375
2022-01-13,150.91375732421875,323.637939453125,26.491310119628906,343.85333251953125
2022-01-14,141.63804626464844,329.01080322265625,26.857154846191406,349.8699951171875
2022-01-18,135.69944763183594,315.3804626464844,25.821428298950195,343.5033264160156
2022-01-19,133.600341796875,316.8078918457031,24.98805809020996,331.8833312988281
2022-01-20,132.46104431152344,313.8043212890625,24.07394790649414,332.0899963378906
2022-01-21,130.14659118652344,300.5308532714844,23.300392150878906,314.6333312988281
2022-01-24,130.03001403808594,306.02264404296875,23.29839515686035,310.0
2022-01-25,131.4473419189453,297.5371398925781,22.253698348999023,306.1333312988281
2022-01-26,132.69432067871094,292.06524658203125,22.700288772583008,312.4700012207031
2022-01-27,130.3529052734375,292.07513427734375,21.874895095825195,276.3666687011719
2022-01-28,131.5191192626953,299.0835876464844,22.7680721282959,282.1166687011719
2022-01-31,133.30430603027344,310.53302001953125,24.40888786315918,312.239990234375
2022-02-01,135.59182739257812,316.2230529785156,24.56041145324707,310.4166564941406
2022-02-02,134.50634765625,320.1882629394531,25.16250991821289,301.88665771484375
2022-02-03,133.39402770996094,235.6902618408203,23.872581481933594,297.0466613769531
2022-02-04,136.856689453125,235.02609252929688,24.242416381835938,307.7733459472656
2022-02-07,137.314208984375,222.9521484375,24.650129318237305,302.4466552734375
2022-02-08,139.8977813720703,218.2633056640625,25.0289306640625,307.3333435058594
2022-02-09,140.48086547851562,229.9804229736328,26.620901107788086,310.6666564941406
2022-02-10,139.8977813720703,226.08462524414062,25.74267578125,301.51666259765625
2022-02-11,138.07667541503906,217.63880920410156,23.873579025268555,286.6666564941406
2022-02-14,136.79391479492188,215.8048858642578,24.190574645996094,291.9200134277344
